Name,Aadhaar,Phone,Voter_ID,Age,Gender,City,State,Booth_Number,Ward_Number,Election_ID,Vote_Status
Shaurya Gupta,408510267555,916935580962,VOT1094,73,Male,Surat,Karnataka,196,2,ELEC971,Voted
Riya Mehta,651411346460,917522352636,VOT1095,70,Male,Surat,Telangana,244,76,ELEC838,Voted
Reyansh Verma,845421466522,916224469948,VOT1096,68,Male,Ahmedabad,Gujarat,102,34,ELEC539,Not Voted
Myra Iyer,712051111040,918133363437,VOT1097,79,Male,Pune,Telangana,102,100,ELEC594,Not Voted
Shaurya Patel,862000701945,919524419898,VOT1098,73,Male,Bangalore,Maharashtra,32,75,ELEC803,Voted
Anika Joshi,519910556324,917290262430,VOT1099,55,Female,Hyderabad,Gujarat,214,23,ELEC180,Not Voted
Kavya Nair,195876185737,918901238457,VOT1100,46,Female,Pune,Gujarat,132,37,ELEC263,Voted
Aarav Shah,157034223487,917231132775,VOT1101,71,Male,Vadodara,Telangana,169,78,ELEC161,Voted
Riya Joshi,735391126155,919137639219,VOT1102,76,Female,Hyderabad,Gujarat,15,6,ELEC399,Voted
Myra Singh,313000065679,916601625654,VOT1103,65,Male,Pune,Karnataka,19,59,ELEC811,Not Voted
Krishna Reddy,319059497924,918099486548,VOT1104,18,Female,Chennai,Telangana,116,97,ELEC713,Voted
Sai Shah,111327955635,916444762708,VOT1105,74,Male,Bangalore,Telangana,99,36,ELEC864,Not Voted
Kavya Joshi,464686611163,919258462265,VOT1106,66,Male,Chennai,Telangana,165,82,ELEC931,Voted
Aditya Shah,408944086804,918346812198,VOT1107,77,Male,Ahmedabad,Karnataka,109,66,ELEC397,Not Voted
Arjun Verma,306186357989,918567940626,VOT1108,74,Male,Bangalore,Gujarat,285,63,ELEC503,Voted
Myra Reddy,413944981584,916088552401,VOT1109,48,Male,Hyderabad,Maharashtra,57,29,ELEC553,Not Voted
Anika Patel,862144056349,918255085228,VOT1110,66,Female,Bangalore,Maharashtra,287,26,ELEC409,Not Voted
Shaurya Verma,307981395534,917197920386,VOT1111,68,Female,Vadodara,Telangana,148,100,ELEC432,Not Voted
Diya Mehta,215732174131,916623437227,VOT1112,47,Female,Hyderabad,Karnataka,130,2,ELEC149,Not Voted
Aarav Iyer,391511042042,919260584528,VOT1113,22,Male,Pune,Maharashtra,258,1,ELEC558,Not Voted
Reyansh Singh,282563466908,919560848244,VOT1114,42,Female,Mumbai,Telangana,238,48,ELEC409,Voted
Sara Reddy,726836870221,916221897916,VOT1115,68,Female,Pune,Tamil Nadu,3,75,ELEC455,Not Voted
Vivaan Verma,202895016249,918834418713,VOT1116,62,Male,Pune,Tamil Nadu,247,95,ELEC748,Voted
Riya Iyer,324522503390,917825695098,VOT1117,51,Male,Hyderabad,Maharashtra,272,19,ELEC309,Not Voted
Aadhya Verma,544815519384,917507167055,VOT1118,34,Female,Hyderabad,Tamil Nadu,72,59,ELEC198,Not Voted
Aditya Singh,243445206398,917048042327,VOT1119,72,Male,Chennai,Telangana,299,81,ELEC576,Not Voted
Vivaan Verma,663580700901,917012423986,VOT1120,46,Female,Mumbai,Gujarat,5,35,ELEC984,Voted
Sara Shah,624483288098,919809974602,VOT1121,63,Male,Mumbai,Gujarat,204,83,ELEC913,Not Voted
Krishna Iyer,204363119466,917032740818,VOT1122,19,Female,Vadodara,Tamil Nadu,171,43,ELEC207,Voted
Krishna Reddy,340386993674,918166986564,VOT1123,27,Male,Chennai,Tamil Nadu,105,58,ELEC287,Not Voted
Vihaan Shah,933186932829,918438156166,VOT1124,66,Male,Bangalore,Tamil Nadu,6,86,ELEC162,Not Voted
Shaurya Reddy,773887638480,916067063140,VOT1125,51,Female,Mumbai,Gujarat,255,79,ELEC734,Not Voted
Krishna Joshi,474504227617,916705539811,VOT1126,76,Male,Bangalore,Karnataka,11,8,ELEC810,Not Voted
Myra Gupta,978343780567,916155875352,VOT1127,38,Female,Mumbai,Telangana,256,13,ELEC987,Not Voted
Shaurya Gupta,707602197409,919741040238,VOT1128,18,Male,Hyderabad,Tamil Nadu,215,67,ELEC706,Voted
Anika Singh,397128571111,919912499443,VOT1129,40,Female,Mumbai,Gujarat,66,21,ELEC669,Voted
Ananya Gupta,597255102864,919962128007,VOT1130,71,Female,Bangalore,Maharashtra,214,76,ELEC106,Voted
Ishaan Patel,529498499779,916408638800,VOT1131,70,Male,Bangalore,Telangana,217,46,ELEC606,Voted
Aditya Singh,125382976022,917335553717,VOT1132,80,Female,Mumbai,Tamil Nadu,107,54,ELEC317,Voted
Navya Joshi,308180701450,917564938006,VOT1133,71,Male,Hyderabad,Gujarat,155,69,ELEC959,Not Voted
Anika Shah,163967493061,916857511198,VOT1134,65,Male,Bangalore,Maharashtra,277,48,ELEC393,Voted
Sara Nair,201238453917,916179590366,VOT1135,24,Female,Vadodara,Gujarat,8,16,ELEC834,Not Voted
Aadhya Joshi,614582467347,919043367949,VOT1136,62,Female,Hyderabad,Tamil Nadu,297,99,ELEC781,Voted
Arjun Joshi,992301832183,917789885395,VOT1137,31,Female,Pune,Karnataka,97,22,ELEC935,Voted
Ira Shah,315246510384,917558111441,VOT1138,22,Male,Mumbai,Telangana,144,15,ELEC285,Voted
Vihaan Gupta,430354629407,916538519468,VOT1139,24,Male,Ahmedabad,Telangana,71,63,ELEC422,Voted
Reyansh Shah,565786764054,916040082670,VOT1140,80,Female,Hyderabad,Maharashtra,181,46,ELEC106,Not Voted
Riya Gupta,623174520248,919897725144,VOT1141,55,Female,Surat,Karnataka,162,74,ELEC901,Voted
Diya Shah,329502625009,916253590141,VOT1142,58,Female,Chennai,Maharashtra,108,98,ELEC544,Not Voted
Anika Joshi,238805962525,916257196378,VOT1143,47,Female,Vadodara,Maharashtra,229,8,ELEC211,Not Voted
Aarav Gupta,308935822204,919526239065,VOT1144,18,Female,Mumbai,Karnataka,161,64,ELEC574,Not Voted
Sai Nair,476363484922,917816932243,VOT1145,45,Male,Pune,Gujarat,61,60,ELEC688,Voted
Shaurya Iyer,194855118919,919959211051,VOT1146,33,Male,Ahmedabad,Karnataka,55,31,ELEC988,Voted
Arjun Nair,537696752047,919586157060,VOT1147,28,Male,Chennai,Maharashtra,144,6,ELEC781,Voted
Ira Joshi,607568990748,916479978910,VOT1148,64,Male,Hyderabad,Telangana,105,41,ELEC429,Not Voted
Vihaan Singh,699967489649,917986598946,VOT1149,35,Female,Ahmedabad,Tamil Nadu,127,74,ELEC992,Voted
Myra Singh,756393401097,918510642832,VOT1150,73,Male,Pune,Telangana,28,8,ELEC328,Not Voted
Arjun Patel,338220196349,916353644722,VOT1151,19,Male,Bangalore,Telangana,117,62,ELEC853,Not Voted
Sara Joshi,327239644239,919069140370,VOT1152,59,Male,Chennai,Telangana,105,39,ELEC854,Not Voted
Shaurya Verma,694365917689,917240094007,VOT1153,75,Female,Hyderabad,Karnataka,57,56,ELEC945,Not Voted
Aadhya Verma,873873259164,918095255174,VOT1154,51,Female,Mumbai,Gujarat,237,92,ELEC411,Not Voted
Sara Mehta,535368907277,919625315883,VOT1155,36,Female,Surat,Telangana,38,3,ELEC599,Not Voted
Riya Reddy,793092200560,917322152720,VOT1156,65,Male,Bangalore,Gujarat,156,25,ELEC379,Voted
Arjun Joshi,751706252866,918348175240,VOT1157,44,Female,Ahmedabad,Karnataka,240,95,ELEC196,Voted
Myra Iyer,815875495889,917651425082,VOT1158,75,Female,Bangalore,Tamil Nadu,54,20,ELEC412,Not Voted
Diya Nair,964255760501,916657087234,VOT1159,19,Male,Surat,Tamil Nadu,74,46,ELEC805,Not Voted
Vihaan Joshi,194189765943,916227510222,VOT1160,32,Male,Hyderabad,Telangana,230,55,ELEC728,Not Voted
Myra Mehta,404666118519,916032191831,VOT1161,48,Female,Vadodara,Karnataka,80,10,ELEC641,Not Voted
Sara Nair,709786819198,919679147187,VOT1162,29,Female,Hyderabad,Maharashtra,192,4,ELEC749,Voted
Riya Reddy,953949142843,919788466374,VOT1163,61,Male,Mumbai,Maharashtra,216,41,ELEC603,Not Voted
Aadhya Joshi,931500212629,917302198251,VOT1164,70,Female,Bangalore,Maharashtra,201,87,ELEC286,Voted
Diya Joshi,736901503731,917160132023,VOT1165,23,Female,Bangalore,Karnataka,24,94,ELEC992,Voted
Ishaan Iyer,679549287684,919736107237,VOT1166,48,Female,Ahmedabad,Karnataka,93,46,ELEC121,Not Voted
Arjun Iyer,319153005219,919165546029,VOT1167,56,Male,Vadodara,Karnataka,291,43,ELEC603,Not Voted
Kavya Patel,964823510677,919559149865,VOT1168,52,Male,Chennai,Maharashtra,257,87,ELEC856,Voted
Krishna Mehta,544953797467,916451982368,VOT1169,36,Male,Mumbai,Gujarat,133,90,ELEC643,Not Voted
Myra Gupta,687261159644,917728343699,VOT1170,30,Female,Chennai,Maharashtra,2,9,ELEC706,Voted
Aditya Patel,647597068170,917503175327,VOT1171,22,Male,Vadodara,Telangana,254,56,ELEC196,Voted
Vivaan Joshi,915910310117,917574193563,VOT1172,20,Female,Hyderabad,Maharashtra,257,72,ELEC348,Voted
Ishaan Nair,112434315919,919251171065,VOT1173,67,Male,Chennai,Karnataka,27,41,ELEC313,Not Voted
Shaurya Shah,291023558918,918976247886,VOT1174,26,Female,Ahmedabad,Tamil Nadu,36,51,ELEC245,Voted
Aadhya Verma,588986827269,916635520980,VOT1175,23,Female,Chennai,Tamil Nadu,112,43,ELEC497,Voted
Shaurya Shah,202770814724,919463635837,VOT1176,56,Female,Surat,Karnataka,70,93,ELEC827,Voted
Vihaan Patel,626941220317,919506821325,VOT1177,27,Male,Surat,Gujarat,159,89,ELEC769,Voted
Sara Mehta,947944240178,917792075806,VOT1178,80,Male,Hyderabad,Karnataka,181,73,ELEC207,Voted
Anika Gupta,603615702980,916187085696,VOT1179,26,Female,Bangalore,Tamil Nadu,219,95,ELEC218,Voted
Ananya Mehta,249872720510,916597673754,VOT1180,75,Female,Pune,Maharashtra,259,96,ELEC572,Voted
Sai Singh,189589782004,918111469302,VOT1181,19,Female,Hyderabad,Telangana,199,85,ELEC365,Not Voted
Kavya Patel,285979400584,919368431702,VOT1182,62,Female,Mumbai,Karnataka,38,44,ELEC696,Not Voted
Aarav Patel,775082509707,917723586308,VOT1183,24,Male,Surat,Maharashtra,245,79,ELEC611,Voted
Arjun Shah,966764604306,919949366987,VOT1184,48,Female,Chennai,Tamil Nadu,266,3,ELEC426,Voted
Myra Nair,606431098168,919875916067,VOT1185,36,Female,Vadodara,Gujarat,71,69,ELEC716,Not Voted
Ira Singh,263808437914,918669541778,VOT1186,38,Male,Pune,Gujarat,82,27,ELEC654,Voted
Diya Mehta,951475502374,919446861660,VOT1187,33,Female,Pune,Tamil Nadu,185,28,ELEC605,Voted
Shaurya Nair,547830651080,917076146226,VOT1188,40,Male,Bangalore,Telangana,186,32,ELEC804,Voted
Myra Mehta,704062457399,917171719900,VOT1189,21,Female,Chennai,Gujarat,185,47,ELEC697,Not Voted
Shaurya Shah,527852333412,916026365449,VOT1190,21,Male,Pune,Tamil Nadu,75,47,ELEC634,Not Voted
Vivaan Verma,884037191766,918995443486,VOT1191,22,Female,Pune,Telangana,270,26,ELEC230,Not Voted
Ira Gupta,503317621988,917703224278,VOT1192,40,Male,Vadodara,Tamil Nadu,102,48,ELEC383,Voted
Reyansh Patel,927587840610,917377402708,VOT1193,79,Male,Bangalore,Tamil Nadu,274,24,ELEC642,Voted
Sai Iyer,730884009418,916955815471,VOT1194,34,Male,Surat,Karnataka,85,18,ELEC758,Not Voted
Vihaan Nair,168861898555,919749521433,VOT1195,65,Male,Surat,Telangana,15,48,ELEC976,Voted
Sai Singh,941080971613,917364202532,VOT1196,21,Male,Pune,Karnataka,168,44,ELEC352,Voted
Ananya Patel,543882362675,919659109893,VOT1197,45,Male,Pune,Maharashtra,279,39,ELEC928,Not Voted
Reyansh Joshi,113498861766,916043498116,VOT1198,62,Male,Vadodara,Maharashtra,160,61,ELEC974,Voted
Krishna Mehta,304053374521,917568418900,VOT1199,44,Female,Pune,Maharashtra,269,74,ELEC288,Not Voted
Ananya Singh,939812757642,917273350828,VOT1200,70,Male,Hyderabad,Tamil Nadu,265,92,ELEC456,Not Voted
Arjun Verma,678522113818,919117065649,VOT1201,76,Male,Hyderabad,Telangana,90,97,ELEC836,Voted
Aarav Reddy,335292982188,916262067482,VOT1202,64,Male,Ahmedabad,Telangana,56,12,ELEC917,Voted
Shaurya Reddy,330301690451,916833151077,VOT1203,62,Female,Chennai,Gujarat,134,48,ELEC599,Not Voted
Ananya Patel,974241462286,919864221290,VOT1204,77,Female,Bangalore,Telangana,95,18,ELEC925,Voted
Myra Patel,747721060421,916425415641,VOT1205,27,Male,Mumbai,Maharashtra,187,99,ELEC691,Not Voted
Reyansh Iyer,836810296675,918953190412,VOT1206,19,Male,Chennai,Telangana,213,30,ELEC607,Voted
Sara Shah,400210839586,916707165665,VOT1207,30,Male,Vadodara,Gujarat,30,99,ELEC760,Not Voted
Krishna Gupta,735445250020,917801057607,VOT1208,27,Male,Ahmedabad,Maharashtra,274,13,ELEC545,Not Voted
Aadhya Reddy,593022150629,919347150302,VOT1209,27,Female,Ahmedabad,Karnataka,18,21,ELEC313,Not Voted
Sara Nair,456397811326,916119074401,VOT1210,25,Female,Mumbai,Tamil Nadu,295,78,ELEC901,Voted
Kavya Reddy,218956366338,917025729657,VOT1211,25,Female,Ahmedabad,Karnataka,146,21,ELEC112,Voted
Shaurya Gupta,321173585683,917776046000,VOT1212,39,Female,Bangalore,Tamil Nadu,125,90,ELEC383,Not Voted
Aditya Joshi,639653470810,919775383317,VOT1213,45,Male,Chennai,Tamil Nadu,155,27,ELEC975,Voted
Myra Verma,591507741191,916012223803,VOT1214,48,Female,Pune,Karnataka,108,7,ELEC409,Not Voted
Kavya Joshi,252933601422,918915507176,VOT1215,42,Female,Hyderabad,Maharashtra,113,7,ELEC259,Voted
Diya Shah,159583843780,917909274713,VOT1216,55,Male,Chennai,Tamil Nadu,7,62,ELEC180,Voted
Vivaan Reddy,810769116427,919362523203,VOT1217,41,Female,Chennai,Telangana,276,1,ELEC639,Not Voted
Navya Nair,795737836978,919915533922,VOT1218,49,Female,Ahmedabad,Gujarat,257,12,ELEC949,Not Voted
Ishaan Nair,850311797640,918647854646,VOT1219,47,Male,Vadodara,Telangana,35,51,ELEC784,Not Voted
Vivaan Singh,347010434963,916546105127,VOT1220,66,Female,Bangalore,Telangana,83,3,ELEC176,Not Voted
Shaurya Singh,423833414647,919575993514,VOT1221,39,Female,Pune,Telangana,145,15,ELEC737,Voted
Myra Joshi,557555639042,918891359119,VOT1222,57,Male,Vadodara,Tamil Nadu,110,100,ELEC241,Not Voted
Sara Joshi,470934746348,918533804094,VOT1223,67,Female,Ahmedabad,Tamil Nadu,48,83,ELEC789,Not Voted
Anika Shah,727887537766,918467486300,VOT1224,53,Male,Bangalore,Tamil Nadu,296,65,ELEC687,Voted
Aditya Joshi,956420989421,916373070733,VOT1225,26,Female,Surat,Karnataka,216,33,ELEC725,Not Voted
Anika Mehta,331963505815,918737298283,VOT1226,39,Male,Vadodara,Karnataka,264,27,ELEC171,Not Voted
Vivaan Joshi,771398463917,918074164603,VOT1227,65,Male,Vadodara,Gujarat,183,24,ELEC719,Voted
Navya Iyer,289730721993,917379960286,VOT1228,21,Male,Pune,Karnataka,118,60,ELEC203,Voted
Sara Iyer,920734381878,918318047491,VOT1229,32,Female,Surat,Maharashtra,24,64,ELEC806,Not Voted
Vihaan Gupta,915433702315,919144527969,VOT1230,60,Female,Ahmedabad,Telangana,201,58,ELEC124,Voted
Arjun Patel,239236420369,918338950210,VOT1231,75,Male,Surat,Telangana,38,6,ELEC815,Not Voted
Krishna Shah,455883776560,916271594857,VOT1232,41,Female,Ahmedabad,Maharashtra,219,43,ELEC107,Voted
Ishaan Joshi,848357966672,919536373972,VOT1233,65,Female,Hyderabad,Tamil Nadu,66,52,ELEC595,Not Voted
Myra Iyer,919414164193,919931133384,VOT1234,77,Male,Bangalore,Telangana,162,4,ELEC868,Not Voted
Sai Iyer,136368037900,919408746838,VOT1235,43,Male,Bangalore,Tamil Nadu,251,40,ELEC947,Not Voted
Anika Singh,141032662996,917674851101,VOT1236,71,Male,Surat,Karnataka,110,16,ELEC639,Not Voted
Navya Gupta,371972284219,918001214113,VOT1237,27,Male,Pune,Gujarat,105,62,ELEC855,Voted
Krishna Iyer,703588143576,918938351097,VOT1238,26,Female,Bangalore,Tamil Nadu,255,75,ELEC417,Not Voted
Reyansh Shah,550125095817,917346489512,VOT1239,44,Male,Pune,Karnataka,31,64,ELEC728,Not Voted
Aarav Gupta,223340075070,917819953241,VOT1240,39,Male,Surat,Maharashtra,42,89,ELEC595,Voted
Navya Reddy,786959531431,917166463279,VOT1241,49,Male,Surat,Gujarat,213,39,ELEC275,Voted
Shaurya Mehta,104594637170,919594346357,VOT1242,56,Male,Pune,Tamil Nadu,206,10,ELEC703,Voted
Kavya Mehta,198530187232,918389788370,VOT1243,74,Male,Mumbai,Tamil Nadu,182,32,ELEC239,Voted
